subscription_id,customer_id,plan_name,billing_cycle,monthly_price,seats,start_date,renewal_date,status
S0070,70,Enterprise,Monthly,599,160,2026-05-26,2026-06-25,Active
S0071,71,Growth,Annual,99,18,2023-11-07,2024-11-06,Active
S0072,72,Growth,Annual,99,9,2023-12-20,2024-12-19,Active
S0073,73,Growth,Annual,99,17,2024-09-01,2025-09-01,Active
S0074,74,Growth,Annual,99,16,2024-07-31,2025-07-31,Active
S0075,75,Enterprise,Annual,599,143,2025-11-07,2026-11-07,Active
S0076,76,Starter,Annual,49,2,2025-10-16,2026-10-16,Active
S0077,77,Pro,Annual,249,42,2024-10-25,2025-10-25,Active
S0078,78,Enterprise,Annual,599,253,2023-12-31,2024-12-30,Active
S0079,79,Growth,Annual,99,9,2024-12-31,2025-12-31,Active
S0080,80,Starter,Monthly,49,3,2025-09-10,2025-10-10,Active
S0081,81,Pro,Monthly,249,79,2023-10-04,2023-11-03,Active
S0082,82,Pro,Monthly,249,35,2023-09-24,2023-10-24,Active
S0083,83,Pro,Monthly,249,26,2026-04-02,2026-05-02,Active
S0084,84,Starter,Annual,49,1,2025-05-12,2026-05-12,Active
S0085,85,Enterprise,Monthly,599,246,2024-03-05,2024-04-04,Active
S0086,86,Starter,Annual,49,3,2025-05-15,2026-05-15,Active
S0087,87,Enterprise,Monthly,599,269,2023-09-17,2023-10-17,Active
S0088,88,Pro,Monthly,249,76,2023-12-24,2024-01-23,Active
S0089,89,Starter,Monthly,49,4,2025-04-09,2025-05-09,Active
S0090,90,Enterprise,Annual,599,225,2024-03-26,2025-03-26,Active
S0091,91,Growth,Annual,99,19,2024-04-21,2025-04-21,Active
S0092,92,Growth,Monthly,99,19,2026-05-23,2026-06-22,Active
S0093,93,Pro,Annual,249,61,2024-01-01,2024-12-31,Active
S0094,94,Pro,Monthly,249,56,2024-06-27,2024-07-27,Active
S0095,95,Pro,Monthly,249,72,2025-01-11,2025-02-10,Active
S0096,96,Growth,Monthly,99,8,2024-06-28,2024-07-28,Active
S0097,97,Growth,Monthly,99,13,2024-12-08,2025-01-07,Active
S0098,98,Growth,Annual,99,14,2024-09-23,2025-09-23,Active
S0099,99,Growth,Annual,99,12,2025-10-27,2026-10-27,Active
S0100,100,Starter,Annual,49,2,2024-08-26,2025-08-26,Active
S0101,101,Enterprise,Annual,599,237,2023-09-15,2024-09-14,Active
S0102,102,Starter,Monthly,49,4,2024-11-16,2024-12-16,Active
S0103,103,Enterprise,Annual,599,217,2025-03-07,2026-03-07,Active
S0104,104,Pro,Monthly,249,53,2025-10-02,2025-11-01,Active
S0105,105,Growth,Annual,99,8,2024-05-19,2025-05-19,Active
S0106,106,Growth,Monthly,99,9,2024-12-11,2025-01-10,Active
S0107,107,Enterprise,Annual,599,229,2024-10-26,2025-10-26,Active
S0108,108,Growth,Annual,99,19,2024-10-19,2025-10-19,Active
S0109,109,Growth,Monthly,99,19,2026-06-04,2026-07-04,Active
S0110,110,Starter,Monthly,49,4,2025-11-15,2025-12-15,Active
S0111,111,Pro,Monthly,249,42,2025-05-15,2025-06-14,Active
S0112,112,Starter,Monthly,49,1,2026-06-01,2026-07-01,Active
S0113,113,Growth,Monthly,99,16,2024-04-06,2024-05-06,Active
S0114,114,Growth,Annual,99,7,2024-12-19,2025-12-19,Active
S0115,115,Enterprise,Monthly,599,217,2026-05-28,2026-06-27,Active
S0116,116,Growth,Monthly,99,5,2023-08-24,2023-09-23,Active
S0117,117,Enterprise,Annual,599,177,2026-02-21,2027-02-21,Active
S0118,118,Pro,Monthly,249,29,2025-12-28,2026-01-27,Active
S0119,119,Starter,Monthly,49,1,2025-08-23,2025-09-22,Active
S0120,120,Enterprise,Monthly,599,105,2023-07-26,2023-08-25,Active
S0121,121,Growth,Annual,99,6,2024-04-16,2025-04-16,Active
S0122,122,Starter,Annual,49,2,2024-01-22,2025-01-21,Active
S0123,123,Starter,Annual,49,2,2025-10-20,2026-10-20,Active
S0124,124,Pro,Annual,249,76,2026-02-23,2027-02-23,Active
S0125,125,Enterprise,Monthly,599,95,2025-06-09,2025-07-09,Active
S0126,126,Growth,Monthly,99,20,2025-06-16,2025-07-16,Active
S0127,127,Enterprise,Annual,599,186,2024-09-20,2025-09-20,Active
S0128,128,Growth,Annual,99,10,2024-10-03,2025-10-03,Active
S0129,129,Growth,Monthly,99,9,2025-11-03,2025-12-03,Active
S0130,130,Enterprise,Annual,599,142,2025-03-04,2026-03-04,Active
S0131,131,Starter,Annual,49,1,2024-12-13,2025-12-13,Active
S0132,132,Starter,Monthly,49,1,2025-03-14,2025-04-13,Active
S0133,133,Growth,Monthly,99,11,2025-12-28,2026-01-27,Active
S0134,134,Growth,Monthly,99,11,2024-10-23,2024-11-22,Active
S0135,135,Starter,Monthly,49,2,2025-04-28,2025-05-28,Active
S0136,136,Pro,Annual,249,45,2024-06-24,2025-06-24,Active
S0137,137,Growth,Annual,99,19,2023-09-01,2024-08-31,Active
S0138,138,Growth,Annual,99,20,2025-04-06,2026-04-06,Active
S0139,139,Pro,Annual,249,43,2026-03-10,2027-03-10,Active
S0140,140,Growth,Monthly,99,5,2023-08-29,2023-09-28,Active
S0141,141,Enterprise,Annual,599,164,2025-07-04,2026-07-04,Active
S0142,142,Starter,Monthly,49,4,2024-12-07,2025-01-06,Active
S0143,143,Pro,Annual,249,66,2025-02-25,2026-02-25,Active
S0144,144,Growth,Monthly,99,20,2024-08-12,2024-09-11,Active
S0145,145,Enterprise,Monthly,599,296,2025-11-01,2025-12-01,Active
S0146,146,Starter,Monthly,49,1,2024-06-30,2024-07-30,Active
S0147,147,Growth,Monthly,99,5,2023-09-04,2023-10-04,Active
S0148,148,Growth,Monthly,99,20,2026-03-09,2026-04-08,Active
S0149,149,Starter,Annual,49,1,2026-05-22,2027-05-22,Active
S0150,150,Starter,Annual,49,1,2025-07-09,2026-07-09,Active
S0151,151,Starter,Monthly,49,5,2024-01-11,2024-02-10,Active
S0152,152,Growth,Annual,99,13,2026-01-01,2027-01-01,Active
S0153,153,Starter,Annual,49,4,2026-06-04,2027-06-04,Active
S0154,154,Starter,Monthly,49,1,2023-11-13,2023-12-13,Active
S0155,155,Growth,Annual,99,5,2024-10-28,2025-10-28,Active
S0156,156,Starter,Annual,49,3,2023-09-19,2024-09-18,Active
S0157,157,Enterprise,Monthly,599,91,2023-11-02,2023-12-02,Active
S0158,158,Enterprise,Annual,599,297,2025-08-17,2026-08-17,Active
S0159,159,Starter,Monthly,49,5,2026-03-31,2026-04-30,Active
S0160,160,Pro,Annual,249,30,2025-10-05,2026-10-05,Active
S0161,161,Starter,Annual,49,5,2025-08-07,2026-08-07,Active
S0162,162,Pro,Monthly,249,23,2024-09-06,2024-10-06,Active
S0163,163,Growth,Monthly,99,17,2023-11-29,2023-12-29,Active
S0164,164,Starter,Annual,49,4,2025-07-08,2026-07-08,Active
S0165,165,Growth,Annual,99,10,2024-12-03,2025-12-03,Active
S0166,166,Pro,Monthly,249,71,2024-08-22,2024-09-21,Active
S0167,167,Pro,Monthly,249,44,2024-09-19,2024-10-19,Active
S0168,168,Pro,Monthly,249,43,2025-04-09,2025-05-09,Active
S0169,169,Starter,Annual,49,4,2025-07-26,2026-07-26,Active
S0170,170,Starter,Monthly,49,2,2024-10-17,2024-11-16,Active
S0171,171,Growth,Annual,99,5,2024-11-04,2025-11-04,Active
S0172,172,Growth,Annual,99,5,2025-05-08,2026-05-08,Active
S0173,173,Growth,Monthly,99,12,2024-11-05,2024-12-05,Active
S0174,174,Starter,Annual,49,2,2024-11-19,2025-11-19,Active
S0175,175,Starter,Monthly,49,1,2024-04-30,2024-05-30,Active
S0176,176,Growth,Annual,99,16,2024-09-19,2025-09-19,Active
S0177,177,Pro,Annual,249,49,2023-12-21,2024-12-20,Active
S0178,178,Starter,Monthly,49,4,2024-04-21,2024-05-21,Active
S0179,179,Growth,Annual,99,15,2024-09-16,2025-09-16,Active
S0180,180,Pro,Monthly,249,58,2024-10-13,2024-11-12,Active
S0181,181,Starter,Annual,49,2,2023-12-24,2024-12-23,Active
S0182,182,Pro,Annual,249,40,2025-07-30,2026-07-30,Active
S0183,183,Starter,Annual,49,3,2024-08-13,2025-08-13,Active
S0184,184,Starter,Monthly,49,5,2025-08-19,2025-09-18,Active
S0185,185,Growth,Monthly,99,14,2023-10-09,2023-11-08,Active
S0186,186,Starter,Annual,49,4,2024-10-31,2025-10-31,Active
S0187,187,Starter,Monthly,49,4,2025-11-30,2025-12-30,Active
S0188,188,Enterprise,Annual,599,209,2024-07-02,2025-07-02,Active
S0189,189,Enterprise,Annual,599,172,2026-01-17,2027-01-17,Active
S0190,190,Pro,Monthly,249,62,2026-02-19,2026-03-21,Active
S0191,191,Growth,Monthly,99,17,2024-09-01,2024-10-01,Active
S0192,192,Enterprise,Annual,599,146,2024-03-17,2025-03-17,Active
S0193,193,Starter,Monthly,49,4,2026-01-25,2026-02-24,Active
S0194,194,Pro,Monthly,249,50,2024-09-29,2024-10-29,Active
S0195,195,Starter,Monthly,49,1,2024-08-31,2024-09-30,Active
S0196,196,Starter,Monthly,49,5,2024-01-12,2024-02-11,Active
S0197,197,Starter,Annual,49,3,2024-02-23,2025-02-22,Active
S0198,198,Pro,Monthly,249,61,2026-01-27,2026-02-26,Active
S0199,199,Pro,Monthly,249,55,2025-07-15,2025-08-14,Active
S0200,200,Starter,Annual,49,4,2025-11-02,2026-11-02,Active
S0201,201,Growth,Monthly,99,17,2025-05-19,2025-06-18,Active
S0202,202,Growth,Monthly,99,18,2026-05-30,2026-06-29,Active
S0203,203,Pro,Monthly,249,56,2024-09-08,2024-10-08,Active
S0204,204,Pro,Monthly,249,32,2026-04-25,2026-05-25,Active
S0205,205,Starter,Annual,49,5,2026-01-12,2027-01-12,Active
S0206,206,Growth,Monthly,99,16,2023-12-06,2024-01-05,Active
S0207,207,Growth,Annual,99,7,2026-05-24,2027-05-24,Active
S0208,208,Starter,Monthly,49,3,2025-04-17,2025-05-17,Active
S0209,209,Pro,Annual,249,56,2025-11-18,2026-11-18,Active
S0210,210,Growth,Annual,99,10,2024-08-13,2025-08-13,Active
S0211,211,Growth,Monthly,99,15,2025-09-24,2025-10-24,Active
S0212,212,Growth,Annual,99,20,2025-07-04,2026-07-04,Active
S0213,213,Pro,Annual,249,46,2026-03-11,2027-03-11,Active
S0214,214,Pro,Annual,249,56,2024-05-29,2025-05-29,Active
S0215,215,Pro,Monthly,249,37,2025-05-28,2025-06-27,Active
S0216,216,Growth,Monthly,99,20,2024-07-23,2024-08-22,Active
S0217,217,Starter,Monthly,49,3,2023-12-09,2024-01-08,Active
S0218,218,Pro,Annual,249,47,2025-07-03,2026-07-03,Active
S0219,219,Pro,Monthly,249,48,2025-08-30,2025-09-29,Active
S0220,220,Starter,Monthly,49,4,2025-08-05,2025-09-04,Active
S0221,221,Starter,Annual,49,5,2025-03-04,2026-03-04,Active
S0222,222,Starter,Monthly,49,2,2024-02-15,2024-03-16,Active
S0223,223,Growth,Monthly,99,14,2024-12-26,2025-01-25,Active
S0224,224,Starter,Monthly,49,2,2026-01-14,2026-02-13,Active
S0225,225,Enterprise,Monthly,599,262,2025-10-31,2025-11-30,Active
S0226,226,Starter,Monthly,49,4,2025-11-08,2025-12-08,Active
S0227,227,Growth,Annual,99,19,2024-05-06,2025-05-06,Active
S0228,228,Pro,Monthly,249,64,2025-04-16,2025-05-16,Active
S0229,229,Growth,Annual,99,5,2026-07-17,2027-07-17,Active
S0230,230,Pro,Monthly,249,74,2026-04-25,2026-05-25,Active
S0231,231,Pro,Annual,249,72,2024-01-30,2025-01-29,Active
S0232,232,Growth,Annual,99,15,2025-05-31,2026-05-31,Active
S0233,233,Starter,Annual,49,3,2023-08-10,2024-08-09,Active
S0234,234,Growth,Annual,99,8,2023-11-11,2024-11-10,Active
S0235,235,Starter,Annual,49,1,2026-03-12,2027-03-12,Active
S0236,236,Enterprise,Annual,599,247,2026-05-30,2027-05-30,Active
S0237,237,Growth,Monthly,99,10,2025-08-14,2025-09-13,Active
S0238,238,Growth,Monthly,99,7,2024-10-06,2024-11-05,Active
S0239,239,Starter,Annual,49,1,2023-12-17,2024-12-16,Active
S0240,240,Growth,Annual,99,5,2024-10-25,2025-10-25,Active
S0241,241,Pro,Annual,249,24,2024-10-15,2025-10-15,Active
S0242,242,Growth,Monthly,99,15,2025-10-20,2025-11-19,Active
S0243,243,Starter,Monthly,49,2,2024-04-07,2024-05-07,Active
S0244,244,Starter,Monthly,49,4,2026-03-06,2026-04-05,Active
S0245,245,Growth,Monthly,99,19,2025-07-03,2025-08-02,Active
S0246,246,Starter,Monthly,49,2,2025-07-09,2025-08-08,Active
S0247,247,Growth,Annual,99,9,2025-06-03,2026-06-03,Active
S0248,248,Growth,Monthly,99,14,2025-05-07,2025-06-06,Active
S0249,249,Starter,Annual,49,2,2025-03-06,2026-03-06,Active
S0250,250,Starter,Monthly,49,2,2025-01-25,2025-02-24,Active
S0251,251,Starter,Monthly,49,5,2026-05-05,2026-06-04,Active
S0252,252,Starter,Annual,49,3,2026-06-17,2027-06-17,Active
S0253,253,Enterprise,Monthly,599,147,2024-10-04,2024-11-03,Active
S0254,254,Starter,Monthly,49,4,2024-06-22,2024-07-22,Active
S0255,255,Growth,Annual,99,17,2026-05-07,2027-05-07,Active
S0256,256,Growth,Monthly,99,7,2026-04-17,2026-05-17,Active
S0257,257,Growth,Monthly,99,15,2023-09-07,2023-10-07,Active
S0258,258,Growth,Monthly,99,18,2024-12-06,2025-01-05,Active
S0259,259,Starter,Monthly,49,1,2025-02-05,2025-03-07,Active
S0260,260,Growth,Monthly,99,10,2025-08-04,2025-09-03,Active
S0261,261,Pro,Monthly,249,80,2024-01-12,2024-02-11,Active
S0262,262,Growth,Annual,99,16,2024-07-02,2025-07-02,Active
S0263,263,Pro,Annual,249,41,2025-11-29,2026-11-29,Active
S0264,264,Growth,Monthly,99,7,2024-08-31,2024-09-30,Active
S0265,265,Growth,Monthly,99,10,2024-08-28,2024-09-27,Active
S0266,266,Starter,Monthly,49,5,2026-05-31,2026-06-30,Active
S0267,267,Growth,Monthly,99,12,2025-12-06,2026-01-05,Active
S0268,268,Growth,Monthly,99,6,2023-10-24,2023-11-23,Active
S0269,269,Enterprise,Annual,599,186,2025-04-12,2026-04-12,Active
S0270,270,Enterprise,Annual,599,175,2024-11-01,2025-11-01,Active
S0271,271,Starter,Monthly,49,2,2025-10-30,2025-11-29,Active
S0272,272,Enterprise,Annual,599,152,2026-05-24,2027-05-24,Active
S0273,273,Pro,Annual,249,55,2024-03-14,2025-03-14,Active
S0274,274,Starter,Monthly,49,3,2026-02-28,2026-03-30,Active
S0275,275,Starter,Annual,49,5,2026-06-24,2027-06-24,Active
S0276,276,Starter,Monthly,49,2,2024-07-18,2024-08-17,Active
S0277,277,Starter,Annual,49,1,2025-11-09,2026-11-09,Active
S0278,278,Pro,Annual,249,53,2024-01-23,2025-01-22,Active
S0279,279,Growth,Monthly,99,13,2026-04-06,2026-05-06,Active
S0280,280,Enterprise,Annual,599,101,2024-01-29,2025-01-28,Active
S0281,281,Growth,Monthly,99,7,2026-01-13,2026-02-12,Active
S0282,282,Starter,Monthly,49,2,2024-12-09,2025-01-08,Active
S0283,283,Starter,Annual,49,3,2023-07-22,2024-07-21,Active
S0284,284,Starter,Monthly,49,2,2024-02-04,2024-03-05,Active
S0285,285,Starter,Annual,49,3,2023-08-27,2024-08-26,Active
S0286,286,Growth,Monthly,99,14,2026-01-17,2026-02-16,Active
S0287,287,Enterprise,Monthly,599,260,2024-01-30,2024-02-29,Active
S0288,288,Pro,Monthly,249,29,2025-06-13,2025-07-13,Active
S0289,289,Pro,Annual,249,63,2025-09-07,2026-09-07,Active
S0290,290,Starter,Monthly,49,1,2026-05-06,2026-06-05,Active
S0291,291,Growth,Monthly,99,19,2025-07-31,2025-08-30,Active
S0292,292,Pro,Monthly,249,73,2025-06-06,2025-07-06,Active
S0293,293,Enterprise,Monthly,599,255,2026-02-16,2026-03-18,Active
S0294,294,Growth,Monthly,99,13,2026-03-13,2026-04-12,Active
S0295,295,Starter,Monthly,49,2,2026-01-31,2026-03-02,Active
S0296,296,Starter,Annual,49,1,2026-07-12,2027-07-12,Active
S0297,297,Starter,Annual,49,4,2025-11-20,2026-11-20,Active
S0298,298,Pro,Monthly,249,78,2025-04-20,2025-05-20,Active
S0299,299,Starter,Annual,49,2,2023-12-12,2024-12-11,Active
S0300,300,Growth,Annual,99,18,2025-02-18,2026-02-18,Active
S0301,301,Growth,Monthly,99,17,2023-10-30,2023-11-29,Active
S0302,302,Starter,Monthly,49,5,2025-05-18,2025-06-17,Active
S0303,303,Pro,Annual,249,42,2024-02-05,2025-02-04,Active
S0304,304,Growth,Annual,99,10,2026-05-23,2027-05-23,Active
S0305,305,Growth,Monthly,99,6,2025-05-05,2025-06-04,Active
S0306,306,Growth,Monthly,99,8,2023-12-25,2024-01-24,Active
S0307,307,Starter,Monthly,49,2,2024-01-02,2024-02-01,Active
S0308,308,Enterprise,Monthly,599,161,2024-09-22,2024-10-22,Active
S0309,309,Pro,Annual,249,65,2026-03-09,2027-03-09,Active
S0310,310,Growth,Monthly,99,11,2026-05-04,2026-06-03,Active
S0311,311,Enterprise,Annual,599,205,2024-11-08,2025-11-08,Active
S0312,312,Starter,Monthly,49,2,2024-02-25,2024-03-26,Active
S0313,313,Growth,Annual,99,11,2023-09-03,2024-09-02,Active
S0314,314,Starter,Monthly,49,3,2025-02-21,2025-03-23,Active
S0315,315,Growth,Monthly,99,16,2024-11-13,2024-12-13,Active
S0316,316,Pro,Annual,249,41,2023-10-07,2024-10-06,Active
S0317,317,Starter,Monthly,49,4,2023-10-03,2023-11-02,Active
S0318,318,Starter,Annual,49,2,2026-02-15,2027-02-15,Active
S0319,319,Pro,Annual,249,66,2025-09-20,2026-09-20,Active
S0320,320,Enterprise,Annual,599,234,2024-09-30,2025-09-30,Active
S0321,321,Starter,Monthly,49,5,2023-09-26,2023-10-26,Active
S0322,322,Starter,Monthly,49,2,2023-10-11,2023-11-10,Active
S0323,323,Growth,Monthly,99,19,2024-02-16,2024-03-17,Active
S0324,324,Starter,Monthly,49,3,2025-08-28,2025-09-27,Active
S0325,325,Pro,Monthly,249,66,2024-07-09,2024-08-08,Active
S0326,326,Enterprise,Annual,599,219,2025-03-25,2026-03-25,Active
S0327,327,Growth,Annual,99,12,2024-11-15,2025-11-15,Active
S0328,328,Starter,Monthly,49,3,2024-10-09,2024-11-08,Active
S0329,329,Enterprise,Monthly,599,176,2024-04-09,2024-05-09,Active
S0330,330,Starter,Monthly,49,5,2025-05-26,2025-06-25,Active
S0331,331,Enterprise,Annual,599,247,2025-03-31,2026-03-31,Active
S0332,332,Starter,Annual,49,2,2024-06-26,2025-06-26,Active
S0333,333,Starter,Monthly,49,4,2026-03-27,2026-04-26,Active
S0334,334,Starter,Monthly,49,1,2025-01-10,2025-02-09,Active
S0335,335,Pro,Monthly,249,20,2024-03-03,2024-04-02,Active
S0336,336,Starter,Annual,49,2,2024-05-19,2025-05-19,Active
S0337,337,Starter,Annual,49,1,2023-11-12,2024-11-11,Active
S0338,338,Starter,Annual,49,4,2025-08-23,2026-08-23,Active
S0339,339,Starter,Annual,49,2,2025-06-14,2026-06-14,Active
S0340,340,Growth,Annual,99,13,2026-03-14,2027-03-14,Active
S0341,341,Starter,Annual,49,5,2024-03-08,2025-03-08,Active
S0342,342,Pro,Monthly,249,71,2024-10-30,2024-11-29,Active
S0343,343,Growth,Monthly,99,6,2023-11-10,2023-12-10,Active
S0344,344,Pro,Annual,249,56,2025-02-09,2026-02-09,Active
S0345,345,Growth,Monthly,99,6,2023-12-05,2024-01-04,Active
S0346,346,Enterprise,Monthly,599,122,2023-09-19,2023-10-19,Active
S0347,347,Enterprise,Monthly,599,100,2024-05-05,2024-06-04,Active
S0348,348,Enterprise,Annual,599,232,2023-10-22,2024-10-21,Active
S0349,349,Starter,Monthly,49,1,2025-01-01,2025-01-31,Active
S0350,350,Growth,Annual,99,19,2025-05-28,2026-05-28,Active
S0351,351,Pro,Annual,249,29,2025-02-02,2026-02-02,Active
S0352,352,Growth,Monthly,99,8,2024-12-24,2025-01-23,Active
S0353,353,Enterprise,Annual,599,247,2023-10-28,2024-10-27,Active
S0354,354,Growth,Annual,99,10,2024-10-01,2025-10-01,Active
S0355,355,Starter,Annual,49,1,2026-02-08,2027-02-08,Active
S0356,356,Pro,Monthly,249,77,2026-05-13,2026-06-12,Active
S0357,357,Starter,Annual,49,3,2026-05-02,2027-05-02,Active
S0358,358,Enterprise,Monthly,599,270,2023-11-26,2023-12-26,Active
S0359,359,Growth,Annual,99,18,2024-12-09,2025-12-09,Active
S0360,360,Starter,Annual,49,2,2026-06-16,2027-06-16,Active
S0361,361,Pro,Annual,249,24,2023-08-15,2024-08-14,Active
S0362,362,Pro,Annual,249,31,2024-12-29,2025-12-29,Active
S0363,363,Enterprise,Monthly,599,196,2024-03-14,2024-04-13,Active
S0364,364,Starter,Annual,49,2,2025-09-13,2026-09-13,Active
S0365,365,Growth,Annual,99,5,2024-12-22,2025-12-22,Active
S0366,366,Growth,Annual,99,20,2026-06-28,2027-06-28,Active
S0367,367,Starter,Monthly,49,3,2025-04-16,2025-05-16,Active
S0368,368,Growth,Monthly,99,11,2025-06-07,2025-07-07,Active
S0369,369,Growth,Monthly,99,18,2025-10-24,2025-11-23,Active
S0370,370,Enterprise,Monthly,599,124,2024-05-14,2024-06-13,Active
S0371,371,Growth,Monthly,99,13,2025-06-01,2025-07-01,Active
S0372,372,Enterprise,Annual,599,169,2025-09-06,2026-09-06,Active
S0373,373,Growth,Monthly,99,14,2026-02-11,2026-03-13,Active
S0374,374,Pro,Annual,249,20,2026-04-09,2027-04-09,Active
S0375,375,Enterprise,Annual,599,255,2023-12-24,2024-12-23,Active
S0376,376,Starter,Monthly,49,3,2024-03-23,2024-04-22,Active
S0377,377,Enterprise,Annual,599,212,2025-05-27,2026-05-27,Active
S0378,378,Pro,Monthly,249,62,2025-06-17,2025-07-17,Active
S0379,379,Pro,Monthly,249,36,2025-03-24,2025-04-23,Active
S0380,380,Growth,Monthly,99,11,2024-06-30,2024-07-30,Active
S0381,381,Pro,Annual,249,74,2026-04-22,2027-04-22,Active
S0382,382,Pro,Monthly,249,50,2024-10-05,2024-11-04,Active
S0383,383,Pro,Monthly,249,34,2025-07-15,2025-08-14,Active
S0384,384,Starter,Annual,49,4,2023-08-16,2024-08-15,Active
S0385,385,Growth,Annual,99,20,2026-02-17,2027-02-17,Active
S0386,386,Growth,Monthly,99,11,2024-01-23,2024-02-22,Active
S0387,387,Enterprise,Annual,599,93,2026-03-11,2027-03-11,Active
S0388,388,Enterprise,Monthly,599,184,2025-09-01,2025-10-01,Active
