customer_id,month,active_users,sessions,feature_adoption_score,api_calls
10,2025-02-01,11,73,0.52,503
10,2025-03-01,6,44,0.73,297
10,2025-04-01,7,56,0.82,183
10,2025-05-01,12,77,0.73,606
10,2025-06-01,12,73,0.47,464
10,2025-07-01,10,77,0.62,574
10,2025-08-01,12,69,0.34,328
10,2025-09-01,12,73,0.59,298
10,2025-10-01,6,50,0.43,203
10,2025-11-01,15,42,0.67,213
10,2025-12-01,7,71,0.52,217
10,2026-01-01,11,60,0.48,312
10,2026-02-01,8,51,0.61,313
10,2026-03-01,6,48,0.26,234
10,2026-04-01,6,61,0.58,417
10,2026-05-01,7,74,0.57,240
10,2026-06-01,8,61,0.63,385
10,2026-07-01,6,65,0.84,228
11,2024-08-01,1,16,0.67,34
11,2024-09-01,1,27,0.7,140
11,2024-10-01,1,24,0.48,129
11,2024-11-01,1,26,0.69,103
11,2024-12-01,1,34,0.85,228
11,2025-01-01,1,27,0.73,141
11,2025-02-01,1,43,0.82,183
11,2025-03-01,1,46,0.9,270
11,2025-04-01,1,43,0.29,326
11,2025-05-01,1,31,0.6,129
11,2025-06-01,1,13,0.63,97
11,2025-07-01,1,24,0.74,85
11,2025-08-01,1,47,0.61,255
11,2025-09-01,1,14,0.71,55
11,2025-10-01,1,28,0.63,174
11,2025-11-01,1,23,0.86,126
11,2025-12-01,1,20,0.73,84
11,2026-01-01,1,19,0.35,100
11,2026-02-01,1,11,0.51,66
11,2026-03-01,1,26,0.71,125
11,2026-04-01,1,47,0.69,328
11,2026-05-01,1,23,0.57,182
11,2026-06-01,1,43,0.61,234
11,2026-07-01,1,38,0.58,257
12,2026-03-01,4,53,0.53,180
12,2026-04-01,3,53,0.67,220
12,2026-05-01,4,64,0.87,473
12,2026-06-01,3,77,0.54,356
12,2026-07-01,2,72,0.56,378
13,2024-08-01,1,49,0.72,257
13,2024-09-01,1,15,0.38,42
13,2024-10-01,1,24,0.77,119
13,2024-11-01,1,39,0.53,150
13,2024-12-01,1,46,0.66,131
13,2025-01-01,1,13,0.67,52
13,2025-02-01,1,47,0.65,200
13,2025-03-01,1,33,1.0,162
13,2025-04-01,1,13,0.63,82
13,2025-05-01,1,40,0.86,223
13,2025-06-01,1,29,0.68,216
13,2025-07-01,1,47,0.35,267
13,2025-08-01,1,35,0.51,176
13,2025-09-01,1,34,0.7,88
13,2025-10-01,1,13,0.83,27
13,2025-11-01,1,37,0.51,115
13,2025-12-01,1,32,0.53,231
13,2026-01-01,1,49,0.81,158
13,2026-02-01,1,35,0.5,153
13,2026-03-01,1,34,0.59,166
13,2026-04-01,1,36,0.72,120
13,2026-05-01,1,33,0.76,120
13,2026-06-01,1,35,0.5,209
13,2026-07-01,1,16,0.94,114
14,2024-08-01,46,149,0.36,830
14,2024-09-01,41,122,0.8,499
14,2024-10-01,31,139,0.55,308
14,2024-11-01,61,139,0.35,873
14,2024-12-01,47,111,0.71,542
14,2025-01-01,48,139,0.55,996
14,2025-02-01,57,148,0.54,537
14,2025-03-01,52,128,0.55,375
14,2025-04-01,53,116,0.59,250
14,2025-05-01,33,112,0.61,343
14,2025-06-01,48,142,0.58,898
14,2025-07-01,34,144,0.71,1005
14,2025-08-01,66,113,0.67,321
14,2025-09-01,36,123,0.35,904
14,2025-10-01,38,114,0.86,405
14,2025-11-01,39,111,0.78,463
14,2025-12-01,66,144,0.5,947
14,2026-01-01,28,133,0.64,641
14,2026-02-01,42,141,0.61,301
14,2026-03-01,57,123,0.48,406
14,2026-04-01,61,131,0.84,1035
14,2026-05-01,31,138,0.36,734
14,2026-06-01,46,134,0.68,847
14,2026-07-01,29,131,0.84,784
15,2024-09-01,2,16,0.84,112
15,2024-10-01,2,30,0.51,89
15,2024-11-01,1,10,0.6,56
15,2024-12-01,1,35,0.57,262
15,2025-01-01,2,48,0.78,369
15,2025-02-01,3,33,0.47,72
15,2025-03-01,1,29,0.71,204
15,2025-04-01,2,26,0.35,172
15,2025-05-01,1,18,0.75,114
15,2025-06-01,2,34,0.46,83
15,2025-07-01,1,46,0.95,359
15,2025-08-01,2,47,0.49,352
15,2025-09-01,3,26,0.56,121
15,2025-10-01,2,21,0.66,143
15,2025-11-01,2,32,0.69,186
15,2025-12-01,1,17,0.37,134
15,2026-01-01,1,35,0.59,218
15,2026-02-01,3,16,0.41,62
15,2026-03-01,2,24,0.99,90
15,2026-04-01,3,17,0.59,121
15,2026-05-01,2,48,0.7,246
15,2026-06-01,1,48,0.39,130
15,2026-07-01,3,43,0.68,222
16,2025-02-01,5,65,0.57,340
16,2025-03-01,4,68,0.53,437
16,2025-04-01,5,72,0.4,154
16,2025-05-01,2,73,0.69,529
16,2025-06-01,3,52,0.99,188
16,2025-07-01,2,49,0.5,196
16,2025-08-01,5,59,0.54,243
16,2025-09-01,5,69,0.56,434
16,2025-10-01,2,76,0.31,461
16,2025-11-01,6,51,0.42,346
16,2025-12-01,2,76,0.75,582
16,2026-01-01,5,50,0.57,396
16,2026-02-01,6,46,0.78,233
16,2026-03-01,2,49,0.84,210
16,2026-04-01,5,42,0.68,138
16,2026-05-01,5,48,0.78,382
16,2026-06-01,5,74,0.48,510
16,2026-07-01,4,77,0.67,499
17,2026-06-01,69,314,0.47,2281
17,2026-07-01,49,292,0.62,1419
18,2024-08-01,2,12,0.64,71
18,2024-09-01,2,14,0.65,51
18,2024-10-01,1,24,0.56,124
18,2024-11-01,1,46,0.62,280
18,2024-12-01,2,14,0.74,75
18,2025-01-01,2,49,0.61,264
18,2025-02-01,2,42,0.69,298
18,2025-03-01,2,22,0.77,136
18,2025-04-01,2,45,0.5,327
18,2025-05-01,2,40,0.67,110
18,2025-06-01,2,39,0.48,123
18,2025-07-01,2,22,0.73,173
18,2025-08-01,1,26,0.57,96
18,2025-09-01,1,16,0.63,124
18,2025-10-01,2,37,0.63,89
18,2025-11-01,1,36,0.66,238
18,2025-12-01,1,26,0.78,59
18,2026-01-01,2,23,0.37,179
18,2026-02-01,2,45,0.34,107
18,2026-03-01,1,42,0.81,207
18,2026-04-01,2,20,0.34,159
18,2026-05-01,1,26,0.54,185
18,2026-06-01,2,24,0.45,59
18,2026-07-01,1,23,0.71,64
19,2026-04-01,16,42,0.57,321
19,2026-05-01,15,55,0.43,428
19,2026-06-01,8,58,0.59,427
19,2026-07-01,14,54,0.64,172
20,2024-08-01,177,314,0.43,1651
20,2024-09-01,199,314,0.98,2091
20,2024-10-01,139,304,0.54,2061
20,2024-11-01,207,313,0.6,1784
20,2024-12-01,143,304,0.5,973
20,2025-01-01,157,311,0.87,1123
20,2025-02-01,136,313,0.89,1368
20,2025-03-01,178,320,0.54,1901
20,2025-04-01,198,314,0.45,1084
20,2025-05-01,75,321,0.59,1571
20,2025-06-01,175,317,0.57,1254
20,2025-07-01,150,291,0.6,2122
20,2025-08-01,77,319,0.57,892
20,2025-09-01,102,328,0.49,2020
20,2025-10-01,102,304,0.81,665
20,2025-11-01,162,295,0.74,1674
20,2025-12-01,199,301,0.73,1215
20,2026-01-01,169,296,0.7,1574
20,2026-02-01,192,295,0.91,1521
20,2026-03-01,84,303,0.5,715
20,2026-04-01,167,312,0.96,1239
20,2026-05-01,181,325,0.54,2350
20,2026-06-01,145,321,0.86,1082
20,2026-07-01,151,321,0.67,1592
21,2025-04-01,88,317,0.52,692
21,2025-05-01,169,322,0.63,980
21,2025-06-01,155,310,0.53,1263
21,2025-07-01,127,309,0.84,1625
21,2025-08-01,137,321,0.59,1809
21,2025-09-01,177,304,0.54,1377
21,2025-10-01,111,301,0.79,1027
21,2025-11-01,153,315,0.58,2348
21,2025-12-01,143,312,0.63,1397
21,2026-01-01,125,327,0.25,1139
21,2026-02-01,128,303,0.77,903
21,2026-03-01,186,314,0.34,1114
21,2026-04-01,64,326,0.86,1427
21,2026-05-01,120,312,0.83,1065
21,2026-06-01,119,292,0.51,1756
21,2026-07-01,120,290,0.31,1602
22,2025-12-01,53,121,0.55,268
22,2026-01-01,38,146,0.55,759
22,2026-02-01,60,137,0.84,302
22,2026-03-01,24,123,0.95,638
22,2026-04-01,24,129,0.41,397
22,2026-05-01,26,114,0.69,627
22,2026-06-01,28,121,0.74,572
22,2026-07-01,51,132,0.65,374
23,2026-04-01,20,125,0.49,391
23,2026-05-01,9,117,0.68,398
23,2026-06-01,10,131,0.58,453
23,2026-07-01,19,135,0.6,732
24,2025-12-01,29,121,0.69,842
24,2026-01-01,51,114,0.62,466
24,2026-02-01,71,111,0.75,743
24,2026-03-01,37,122,0.56,323
24,2026-04-01,43,143,0.78,979
24,2026-05-01,66,127,0.42,495
24,2026-06-01,42,120,0.75,476
24,2026-07-01,41,110,0.4,481
25,2025-03-01,2,30,0.93,158
25,2025-04-01,1,44,0.77,107
25,2025-05-01,1,44,0.79,220
25,2025-06-01,3,30,0.7,153
25,2025-07-01,3,15,0.61,52
25,2025-08-01,2,45,0.42,296
25,2025-09-01,2,15,0.63,104
25,2025-10-01,2,25,0.87,184
25,2025-11-01,2,34,0.42,165
25,2025-12-01,1,28,0.53,137
25,2026-01-01,3,36,0.97,91
25,2026-02-01,2,39,0.75,141
25,2026-03-01,3,13,0.44,93
25,2026-04-01,2,48,0.61,300
25,2026-05-01,2,45,0.67,120
25,2026-06-01,2,22,0.26,152
25,2026-07-01,2,31,0.69,94
26,2025-09-01,34,117,0.77,624
26,2025-10-01,34,136,0.72,617
26,2025-11-01,35,119,0.52,785
26,2025-12-01,25,119,0.42,764
26,2026-01-01,26,143,0.65,745
26,2026-02-01,14,131,0.78,691
26,2026-03-01,20,119,0.84,689
26,2026-04-01,40,134,0.66,593
26,2026-05-01,33,148,0.48,310
26,2026-06-01,16,133,0.65,727
26,2026-07-01,34,148,0.52,531
27,2024-08-01,4,76,0.51,255
27,2024-09-01,1,78,0.45,398
27,2024-10-01,3,41,0.63,148
27,2024-11-01,3,47,0.51,244
27,2024-12-01,2,42,0.58,175
27,2025-01-01,3,74,0.52,354
27,2025-02-01,3,47,0.8,142
27,2025-03-01,2,69,0.7,451
27,2025-04-01,2,56,0.6,240
27,2025-05-01,2,62,0.66,180
27,2025-06-01,3,44,0.49,265
27,2025-07-01,3,59,0.72,149
27,2025-08-01,4,78,0.62,230
27,2025-09-01,1,53,0.97,178
27,2025-10-01,2,41,0.42,207
27,2025-11-01,2,42,0.49,196
27,2025-12-01,4,43,0.67,234
27,2026-01-01,2,76,0.52,380
27,2026-02-01,3,77,0.74,555
27,2026-03-01,1,45,0.56,147
27,2026-04-01,1,53,0.42,326
27,2026-05-01,4,57,0.55,309
27,2026-06-01,3,49,0.6,276
27,2026-07-01,4,42,0.72,291
28,2025-05-01,4,52,0.68,238
28,2025-06-01,6,52,0.61,377
28,2025-07-01,2,68,0.42,388
28,2025-08-01,3,62,0.69,146
28,2025-09-01,3,58,0.59,378
28,2025-10-01,5,70,0.38,553
28,2025-11-01,3,58,0.48,356
28,2025-12-01,4,72,0.52,574
28,2026-01-01,3,56,0.51,332
28,2026-02-01,4,77,0.52,214
28,2026-03-01,4,74,0.78,473
28,2026-04-01,7,61,0.55,212
28,2026-05-01,4,66,0.66,401
28,2026-06-01,5,78,0.81,307
28,2026-07-01,3,65,0.6,172
29,2025-10-01,1,20,0.69,141
29,2025-11-01,1,35,0.54,206
29,2025-12-01,1,44,0.68,192
29,2026-01-01,1,47,0.64,359
29,2026-02-01,1,11,0.49,38
29,2026-03-01,1,19,0.72,132
29,2026-04-01,1,43,0.49,202
29,2026-05-01,1,24,0.75,63
29,2026-06-01,1,10,0.58,22
29,2026-07-01,1,17,0.55,41
30,2024-08-01,1,33,0.63,166
30,2024-09-01,1,49,0.45,325
30,2024-10-01,1,16,0.4,66
30,2024-11-01,1,14,0.48,71
30,2024-12-01,1,26,0.58,171
30,2025-01-01,1,34,0.47,82
30,2025-02-01,1,34,0.47,76
30,2025-03-01,1,19,0.82,123
30,2025-04-01,1,41,0.87,120
30,2025-05-01,1,19,0.44,88
30,2025-06-01,1,34,0.31,123
30,2025-07-01,1,29,0.63,170
30,2025-08-01,1,44,0.58,171
30,2025-09-01,1,48,0.57,313
30,2025-10-01,1,30,0.64,194
30,2025-11-01,1,16,0.58,104
30,2025-12-01,1,34,0.55,76
30,2026-01-01,1,27,0.51,210
30,2026-02-01,1,24,0.64,169
30,2026-03-01,1,22,0.72,124
30,2026-04-01,1,28,0.73,71
30,2026-05-01,1,34,0.58,69
30,2026-06-01,1,10,0.42,72
30,2026-07-01,1,13,0.79,41
31,2024-09-01,11,49,0.54,337
31,2024-10-01,6,66,0.78,351
31,2024-11-01,12,61,0.51,429
31,2024-12-01,11,51,0.38,147
31,2025-01-01,13,45,0.43,359
31,2025-02-01,8,43,0.78,142
31,2025-03-01,8,65,0.69,290
31,2025-04-01,6,79,0.54,348
31,2025-05-01,9,46,0.42,269
31,2025-06-01,5,63,0.71,145
31,2025-07-01,11,63,0.45,430
31,2025-08-01,5,70,0.76,202
31,2025-09-01,8,63,0.39,422
31,2025-10-01,6,77,0.61,326
31,2025-11-01,7,69,0.8,317
31,2025-12-01,8,57,0.72,216
31,2026-01-01,8,72,0.73,418
31,2026-02-01,11,66,0.65,519
31,2026-03-01,5,42,0.39,90
31,2026-04-01,9,45,0.65,160
31,2026-05-01,13,65,0.58,458
31,2026-06-01,9,76,0.7,473
31,2026-07-01,5,65,0.58,413
32,2024-08-01,5,74,0.74,218
32,2024-09-01,8,70,0.72,338
32,2024-10-01,3,60,0.58,214
32,2024-11-01,4,74,0.57,497
32,2024-12-01,4,49,0.55,326
32,2025-01-01,5,48,0.84,105
32,2025-02-01,6,59,0.31,229
32,2025-03-01,5,66,0.72,488
32,2025-04-01,7,57,0.44,415
32,2025-05-01,3,60,0.62,270
32,2025-06-01,7,53,0.43,285
32,2025-07-01,4,58,0.69,445
32,2025-08-01,5,51,0.49,362
32,2025-09-01,6,72,0.48,193
32,2025-10-01,5,73,0.82,386
32,2025-11-01,3,73,0.63,346
32,2025-12-01,5,40,0.66,131
32,2026-01-01,5,49,0.47,219
32,2026-02-01,6,78,0.6,533
32,2026-03-01,8,49,0.49,331
32,2026-04-01,4,71,0.53,464
32,2026-05-01,3,61,0.46,168
32,2026-06-01,8,54,0.55,254
32,2026-07-01,7,67,0.68,144
33,2024-08-01,46,314,0.41,1364
33,2024-09-01,47,324,0.46,1924
33,2024-10-01,70,314,0.58,996
33,2024-11-01,80,301,0.47,1120
33,2024-12-01,98,317,0.46,1856
33,2025-01-01,111,304,0.43,1580
33,2025-02-01,83,309,0.66,1291
33,2025-03-01,61,316,0.43,2496
33,2025-04-01,86,322,0.59,2059
33,2025-05-01,73,326,0.55,1855
33,2025-06-01,108,308,0.6,2403
33,2025-07-01,96,310,0.81,1220
33,2025-08-01,108,317,0.42,657
33,2025-09-01,46,314,0.56,683
33,2025-10-01,109,309,0.63,965
33,2025-11-01,62,318,0.55,2387
33,2025-12-01,95,295,0.55,2044
33,2026-01-01,67,298,0.31,1479
33,2026-02-01,108,292,0.36,781
33,2026-03-01,47,315,0.62,1083
33,2026-04-01,66,323,0.84,1907
33,2026-05-01,97,311,0.55,2126
33,2026-06-01,116,319,0.46,1932
33,2026-07-01,64,291,0.65,588
34,2026-04-01,17,148,0.73,487
34,2026-05-01,18,124,0.54,272
34,2026-06-01,36,123,0.7,289
34,2026-07-01,19,124,0.51,922
35,2025-11-01,5,66,0.58,314
35,2025-12-01,4,75,0.45,207
35,2026-01-01,7,58,0.57,130
35,2026-02-01,2,63,0.46,491
35,2026-03-01,7,61,0.68,397
35,2026-04-01,7,48,0.56,378
35,2026-05-01,6,53,0.73,195
35,2026-06-01,3,53,0.52,144
35,2026-07-01,3,75,0.32,419
36,2024-08-01,1,44,0.56,280
36,2024-09-01,1,13,0.42,103
36,2024-10-01,1,25,0.41,169
36,2024-11-01,2,39,0.73,212
36,2024-12-01,1,30,0.5,209
36,2025-01-01,2,12,0.63,26
36,2025-02-01,3,44,0.86,320
36,2025-03-01,1,10,0.52,74
36,2025-04-01,2,24,0.64,176
36,2025-05-01,1,38,0.59,255
36,2025-06-01,2,13,0.7,36
36,2025-07-01,2,13,0.93,100
36,2025-08-01,2,43,0.57,339
36,2025-09-01,2,17,0.58,70
36,2025-10-01,2,21,0.57,156
36,2025-11-01,1,28,0.39,158
36,2025-12-01,1,29,0.59,147
36,2026-01-01,3,47,0.53,224
36,2026-02-01,3,18,0.72,66
36,2026-03-01,1,26,0.62,188
36,2026-04-01,2,22,0.28,49
36,2026-05-01,1,20,0.49,90
36,2026-06-01,3,21,0.37,126
36,2026-07-01,2,21,0.76,162
37,2024-11-01,18,114,0.45,663
37,2024-12-01,44,132,0.54,790
37,2025-01-01,34,142,0.69,598
37,2025-02-01,40,128,0.74,566
37,2025-03-01,45,124,0.62,555
37,2025-04-01,43,138,0.78,284
37,2025-05-01,23,127,0.34,342
37,2025-06-01,50,148,0.51,1097
37,2025-07-01,48,147,0.65,1168
37,2025-08-01,18,111,0.35,545
37,2025-09-01,19,124,0.5,339
37,2025-10-01,35,140,0.76,619
37,2025-11-01,29,118,0.55,794
37,2025-12-01,32,143,0.93,937
37,2026-01-01,29,132,0.39,725
37,2026-02-01,32,145,0.81,434
37,2026-03-01,23,116,1.0,851
37,2026-04-01,52,110,0.63,470
37,2026-05-01,30,144,0.28,349
37,2026-06-01,29,120,0.74,502
37,2026-07-01,38,121,0.84,318
38,2024-08-01,4,44,0.6,123
38,2024-09-01,3,65,0.66,142
38,2024-10-01,3,66,0.33,488
38,2024-11-01,8,76,0.55,295
38,2024-12-01,5,62,0.6,156
38,2025-01-01,5,56,0.62,226
38,2025-02-01,8,43,0.99,129
38,2025-03-01,5,62,0.33,236
38,2025-04-01,7,71,0.6,430
38,2025-05-01,8,60,0.4,320
38,2025-06-01,6,40,0.57,230
38,2025-07-01,4,50,0.43,334
38,2025-08-01,8,74,0.77,423
38,2025-09-01,7,76,0.89,219
38,2025-10-01,5,44,0.37,342
38,2025-11-01,7,73,0.64,379
38,2025-12-01,3,51,0.65,119
38,2026-01-01,5,59,0.84,130
38,2026-02-01,3,45,0.66,220
38,2026-03-01,5,71,0.6,270
38,2026-04-01,4,75,0.7,323
38,2026-05-01,8,50,0.49,208
38,2026-06-01,8,56,0.59,390
38,2026-07-01,7,43,0.64,208
39,2025-10-01,3,48,0.45,185
39,2025-11-01,5,42,0.48,212
39,2025-12-01,6,70,0.94,410
39,2026-01-01,7,51,0.67,187
39,2026-02-01,7,69,0.74,259
39,2026-03-01,2,46,0.68,186
39,2026-04-01,6,76,0.66,502
39,2026-05-01,6,48,0.51,339
39,2026-06-01,3,41,0.83,150
39,2026-07-01,4,43,0.5,103
40,2025-11-01,1,44,0.76,272
40,2025-12-01,1,28,0.88,106
40,2026-01-01,1,49,0.53,238
40,2026-02-01,1,11,0.69,48
40,2026-03-01,1,40,0.73,303
40,2026-04-01,1,36,0.51,197
40,2026-05-01,1,48,0.61,269
40,2026-06-01,2,28,0.6,76
40,2026-07-01,2,26,0.58,180
41,2025-05-01,1,29,0.76,100
41,2025-06-01,1,37,0.44,199
41,2025-07-01,1,13,0.45,86
41,2025-08-01,1,27,0.68,97
41,2025-09-01,1,24,0.72,75
41,2025-10-01,1,38,0.74,90
41,2025-11-01,1,17,0.45,59
41,2025-12-01,1,38,0.57,204
41,2026-01-01,1,43,0.62,289
41,2026-02-01,1,24,0.32,182
41,2026-03-01,1,46,0.42,103
41,2026-04-01,1,38,0.81,76
41,2026-05-01,1,32,0.74,232
41,2026-06-01,1,46,0.44,121
41,2026-07-01,1,28,0.76,223
42,2026-06-01,2,26,0.6,119
42,2026-07-01,3,27,0.69,178
43,2026-05-01,4,46,0.79,326
43,2026-06-01,3,55,0.55,397
43,2026-07-01,2,61,0.75,230
44,2024-08-01,1,33,0.84,90
44,2024-09-01,1,12,0.42,75
44,2024-10-01,1,10,0.85,37
44,2024-11-01,1,44,0.68,231
44,2024-12-01,1,19,0.69,81
44,2025-01-01,1,33,0.63,72
44,2025-02-01,1,12,0.61,62
44,2025-03-01,1,33,0.81,156
44,2025-04-01,1,25,0.52,128
44,2025-05-01,1,21,0.56,75
44,2025-06-01,1,41,0.63,166
44,2025-07-01,1,16,0.75,125
44,2025-08-01,1,18,0.4,125
44,2025-09-01,1,32,0.26,122
44,2025-10-01,1,12,0.46,91
44,2025-11-01,1,43,0.57,100
44,2025-12-01,1,35,0.85,120
44,2026-01-01,1,41,0.73,273
44,2026-02-01,1,26,0.9,82
44,2026-03-01,1,35,0.43,276
44,2026-04-01,1,17,0.46,73
44,2026-05-01,1,37,0.79,193
44,2026-06-01,1,40,0.47,94
44,2026-07-01,1,14,0.35,91
45,2026-01-01,1,41,0.49,249
45,2026-02-01,2,14,0.4,66
45,2026-03-01,1,12,0.63,56
45,2026-04-01,1,42,0.6,182
45,2026-05-01,1,15,0.63,87
45,2026-06-01,1,35,0.57,263
45,2026-07-01,1,32,0.38,183
46,2026-03-01,7,135,0.68,557
46,2026-04-01,21,126,0.71,646
46,2026-05-01,21,111,0.76,736
46,2026-06-01,10,145,0.55,847
46,2026-07-01,18,148,0.65,1037
47,2024-12-01,2,45,0.76,340
47,2025-01-01,1,30,0.73,191
47,2025-02-01,1,36,0.53,125
47,2025-03-01,2,38,0.48,141
47,2025-04-01,3,36,0.65,178
47,2025-05-01,3,34,0.4,221
47,2025-06-01,1,44,0.36,205
47,2025-07-01,2,35,0.5,188
47,2025-08-01,2,36,0.72,255
47,2025-09-01,1,10,0.37,22
47,2025-10-01,1,10,0.6,72
47,2025-11-01,2,38,0.67,173
47,2025-12-01,3,21,0.86,77
47,2026-01-01,3,16,0.81,77
47,2026-02-01,2,24,0.54,77
47,2026-03-01,1,17,0.73,55
47,2026-04-01,1,36,0.54,275
47,2026-05-01,2,46,0.5,319
47,2026-06-01,3,43,0.78,225
47,2026-07-01,3,32,0.74,166
48,2026-05-01,1,15,0.27,117
48,2026-06-01,1,16,0.6,116
48,2026-07-01,2,31,0.57,241
49,2025-12-01,1,47,0.44,308
49,2026-01-01,1,39,0.87,244
49,2026-02-01,1,36,0.55,287
49,2026-03-01,1,45,0.48,293
49,2026-04-01,1,30,0.55,134
49,2026-05-01,1,19,0.44,68
49,2026-06-01,1,18,0.55,75
49,2026-07-01,1,34,0.95,182
50,2024-08-01,2,10,0.42,30
50,2024-09-01,2,48,0.57,361
50,2024-10-01,1,32,0.54,69
50,2024-11-01,1,38,0.74,124
50,2024-12-01,3,29,0.67,184
50,2025-01-01,1,10,0.72,48
50,2025-02-01,3,45,0.49,96
50,2025-03-01,1,44,0.82,273
